author_id,doc_id,chunks (1500)
104,1332,10317
7,960,10317
19,1989,10260
82,1562,10260
64,1116,10260
64,1177,10260
105,2015,10260
11,622,10203
91,277,10203
105,2086,10146
116,760,10146
91,1935,10146
41,2370,10146
73,1278,10146
104,1196,10089
18,1861,10089
39,927,10089
93,475,10089
59,1306,10089
64,433,10032
105,444,10032
105,766,10032
12,1710,10032
64,871,10032
11,1237,10032
66,1367,10032
61,1668,10032
71,387,9975
92,1318,9975
18,2016,9975
11,1649,9975
91,1958,9975
81,1600,9975
44,2049,9918
113,1513,9918
19,763,9918
44,291,9918
61,207,9918
66,2116,9918
43,1985,9918
44,1363,9861
92,567,9861
102,748,9861
91,1594,9861
18,1871,9861
45,1785,9804
105,406,9804
105,1251,9804
71,1970,9804
19,1891,9804
12,2369,9804
39,1960,9747
11,223,9747
11,2281,9747
44,2222,9747
46,1996,9747
47,1986,9747
61,1524,9747
73,553,9747
74,206,9747
22,2025,9690
93,836,9690
77,2088,9690
113,1083,9690
67,1014,9633
11,11,9633
113,924,9633
11,1221,9633
11,463,9633
21,1632,9633
133,2213,9576
16,1725,9576
45,1568,9576
59,1437,9576
10,1202,9576
11,1898,9576
61,1973,9576
39,2048,9576
121,1941,9519
46,1877,9519
120,1307,9519
64,1867,9519
11,1972,9519
11,1024,9519
82,2187,9462
11,1281,9462
11,1561,9462
61,188,9462
91,980,9462
21,688,9462
92,1954,9405
91,2301,9405
91,2362,9405
91,1584,9348
91,1452,9348
64,193,9348
94,955,9348
20,267,9348
41,2174,9291
20,312,9291
43,1286,9291
64,1825,9291
89,1969,9291
88,2035,9291
11,434,9291
102,628,9291
65,1351,9234
109,498,9234
64,123,9234
64,1934,9234
81,412,9234
64,770,9177
61,1288,9177
83,175,9177
14,2021,9120
73,919,9120
17,2052,9120
61,888,9063
64,1207,9063
20,839,9063
93,1771,9006
18,2268,9006
44,2143,9006
64,218,9006
86,977,8949
55,1720,8949
106,1807,8949
104,398,8949
64,1615,8949
92,1502,8949
45,699,8892
102,1342,8892
34,43,8892
64,1701,8892
91,678,8892
20,904,8835
10,1365,8835
57,2372,8835
71,996,8835
11,925,8835
54,1239,8778
71,1788,8778
66,1599,8778
61,562,8778
107,1591,8721
20,148,8721
71,1044,8721
67,1750,8721
82,1378,8664
73,1965,8664
14,1254,8607
12,2253,8607
17,1769,8607
19,1214,8607
67,741,8607
45,254,8607
15,1801,8607
24,2112,8607
23,1700,8607
82,1829,8607
14,1551,8607
102,586,8550
29,319,8550
35,907,8550
43,1903,8550
86,2232,8550
44,2311,8550
71,2255,8550
17,1768,8550
67,2269,8550
11,609,8550
63,1213,8550
61,1372,8550
128,1438,8550
20,293,8493
21,1178,8493
116,1350,8493
65,128,8493
20,1047,8493
43,939,8436
56,1405,8436
58,98,8436
113,1692,8436
17,2123,8436
20,731,8436
102,1623,8436
29,2032,8379
21,1899,8379
20,367,8379
75,1808,8379
69,979,8379
61,929,8322
71,632,8322
20,429,8322
86,1010,8322
46,934,8322
44,1387,8265
43,581,8265
44,1147,8265
88,1218,8265
21,468,8208
46,993,8208
102,1247,8208
65,616,8208
67,990,8151
64,392,8151
74,684,8151
20,1530,8151
68,1037,8151
93,2377,8151
17,2092,8151
122,2029,8094
46,1819,8094
20,1009,8094
11,1084,8094
21,1074,8094
17,1783,8094
17,2008,8037
91,700,8037
91,1572,8037
10,1518,8037
93,1627,8037
43,436,8037
60,1641,8037
86,360,8037
42,2193,7980
10,1232,7980
37,338,7980
66,1497,7980
122,1553,7980
46,966,7980
10,2315,7923
106,2299,7923
74,1868,7923
46,1695,7923
3,355,7923
61,842,7866
10,428,7866
11,280,7866
3,183,7866
97,2266,7866
91,2206,7866
53,1707,7809
45,1346,7809
10,935,7809
61,2368,7809
42,2188,7809
47,81,7809
97,1894,7752
93,1030,7752
10,2217,7752
15,1816,7752
2,1466,7752
74,143,7695
88,396,7695
37,404,7695
87,307,7695
46,1460,7695
14,2076,7695
2,51,7695
46,1071,7695
46,1630,7695
44,1315,7638
91,1303,7638
75,2019,7638
91,916,7638
71,1869,7638
6,794,7638
45,1224,7638
46,1219,7638
21,94,7581
21,411,7581
56,610,7524
117,697,7524
48,1127,7467
43,2195,7467
43,1995,7467
88,985,7467
67,1122,7467
92,937,7467
29,170,7410
19,1270,7410
58,2150,7410
45,438,7410
17,1854,7410
44,1586,7410
44,1446,7410
54,237,7353
67,2312,7353
93,276,7353
80,1034,7353
67,1240,7353
31,2283,7353
1,1667,7353
37,1942,7353
102,892,7296
54,1267,7296
56,574,7296
40,333,7296
7,954,7296
45,1656,7296
92,802,7296
89,2339,7296
56,854,7239
35,2243,7239
69,1862,7239
54,288,7239
71,2141,7239
3,618,7239
102,988,7182
44,64,7182
19,1427,7182
52,214,7182
40,483,7125
54,91,7125
60,103,7125
52,221,7125
2,1349,7125
43,1608,7125
94,1823,7125
85,1070,7068
106,1992,7068
23,140,7068
12,1659,7068
29,273,7011
135,2252,7011
61,240,7011
43,1609,7011
22,2066,7011
42,719,7011
97,608,6954
106,617,6954
17,1776,6954
102,1844,6954
45,302,6954
100,1936,6954
43,1675,6954
43,1348,6954
45,1912,6897
124,1110,6897
17,2063,6897
54,462,6897
67,752,6897
102,1605,6897
106,923,6897
77,1817,6897
43,2322,6840
61,111,6840
88,867,6840
2,1380,6840
123,1097,6840
99,1389,6783
91,1480,6783
31,34,6783
61,2065,6783
105,799,6783
112,1150,6783
11,1082,6783
37,526,6783
44,368,6783
17,2245,6726
18,830,6726
43,1159,6726
46,1245,6726
66,1863,6726
77,762,6726
100,1029,6726
91,2056,6669
43,2135,6669
127,1376,6669
15,2231,6669
102,1153,6612
45,1018,6612
18,614,6612
45,1436,6612
63,1312,6612
105,1663,6612
43,1504,6612
23,126,6555
10,1411,6555
46,2297,6555
11,1253,6555
57,2168,6555
102,1105,6555
91,1921,6555
75,2149,6555
8,1393,6555
73,142,6498
78,1519,6498
54,554,6498
29,818,6498
93,889,6498
31,37,6498
23,1038,6498
45,720,6498
39,1323,6441
77,669,6441
19,440,6441
91,1271,6441
12,1804,6384
45,883,6384
81,2003,6384
13,2046,6384
19,1282,6384
67,606,6384
22,25,6384
93,665,6384
9,1580,6384
91,1104,6384
18,668,6384
47,1647,6327
3,1932,6327
19,588,6327
45,2136,6327
18,491,6327
88,1930,6327
52,89,6327
43,569,6327
46,1403,6327
18,712,6327
17,2084,6327
61,874,6270
42,1068,6270
31,421,6270
18,733,6270
23,1284,6270
67,926,6270
44,159,6213
59,864,6213
13,2220,6213
31,2348,6213
56,2151,6213
102,371,6213
46,732,6213
62,1508,6213
12,2207,6156
91,501,6156
69,2083,6156
52,210,6156
51,424,6156
37,251,6156
1,2013,6156
6,796,6156
6,1222,6156
54,1327,6099
18,1090,6099
7,938,6099
92,1841,6099
8,425,6099
52,2316,6099
56,228,6099
23,2378,6099
111,2005,6042
11,1305,6042
44,1292,6042
20,1066,6042
127,1225,6042
21,1535,5985
21,728,5985
28,659,5985
3,1827,5985
52,1236,5985
102,677,5985
15,2164,5985
26,2180,5985
18,40,5928
52,249,5928
62,2110,5928
6,348,5928
91,1559,5928
89,2097,5928
91,287,5928
90,1216,5928
18,859,5871
57,2006,5871
21,565,5871
18,138,5871
61,1124,5871
31,1748,5871
12,1840,5871
45,821,5871
20,22,5871
106,1456,5871
14,1461,5871
18,52,5814
57,950,5814
23,26,5814
103,1443,5814
23,2346,5814
52,908,5814
18,104,5814
20,533,5814
12,2282,5814
26,642,5814
18,696,5814
18,1091,5757
7,1158,5757
